コード,言語(日),言語(英)
abk,アブハズ語,Abkhazian
aar,アファル語,Afar
afr,アフリカーンス語,Afrikaans
aka,アカン語,Akan
sqi,アルバニア語,Albanian
amh,アムハラ語,Amharic
ara,アラビア語,Arabic
arg,アラゴン語,Aragonese
hye,アルメニア語,Armenian
asm,アッサム語,Assamese
ava,アヴァル語,Avaric
ave,アヴェスター語,Avestan
aym,アイマラ語,Aymara
aze,アゼルバイジャン語,Azerbaijani
bam,バンバラ語,Bambara
bak,バシキール語,Bashkir
eus,バスク語,Basque
bel,ベラルーシ語,Belarusian
ben,ベンガル語,Bengali
bis,ビスラマ語,Bislama
bos,ボスニア語,Bosnian
bre,ブルトン語,Breton
bul,ブルガリア語,Bulgarian
mya,ビルマ語,Burmese
cat,カタルーニャ語、バレンシア語,"Catalan, Valencian"
cha,チャモロ語,Chamorro
che,チェチェン語,Chechen
nya,チェワ語,"Chichewa, Chewa, Nyanja"
zho,中国語,Chinese
chv,チュヴァシ語,Chuvash
cor,コーンウォール語,Cornish
cos,コルシカ語,Corsican
cre,クリー語,Cree
hrv,クロアチア語,Croatian
ces,チェコ語,Czech
dan,デンマーク語,Danish
div,ディベヒ語,"Divehi, Dhivehi, Maldivian"
nld,オランダ語,"Dutch, Flemish"
dzo,ゾンカ語,Dzongkha
eng,英語,English
epo,エスペラント,Esperanto
est,エストニア語,Estonian
ewe,エウェ語,Ewe
fao,フェロー語,Faroese
fij,フィジー語,Fijian
fil,フィリピノ語,Filipino
fin,フィンランド語,Finnish
fra,フランス語,French
ful,フラニ語,Fulah
glg,ガリシア語,Galician
kat,グルジア語,Georgian
deu,ドイツ語,German
ell,ギリシア語,Greek (modern)
grn,グアラニー語,Guaraní
guj,グジャラート語,Gujarati
hat,ハイチ語,"Haitian, Haitian Creole"
hau,ハウサ語,Hausa
heb,ヘブライ語,Hebrew (modern)
her,ヘレロ語,Herero
hin,ヒンディー語,Hindi
hmo,ヒリモツ語,Hiri Motu
hun,ハンガリー語,Hungarian
ina,インターリングア,Interlingua
ind,インドネシア語,Indonesian
ile,インターリング,Interlingue
gle,アイルランド語,Irish
ibo,イボ語,Igbo
ipk,イヌピアック語,Inupiaq
ido,イド語,Ido
isl,アイスランド語,Icelandic
ita,イタリア語,Italian
iku,イヌクティトゥット語,Inuktitut
jpn,日本語,Japanese
jav,ジャワ語,Javanese
kal,グリーンランド語,"Kalaallisut, Greenlandic"
kan,カンナダ語,Kannada
kau,カヌリ語,Kanuri
kas,カシミール語,Kashmiri
kaz,カザフ語,Kazakh
khm,クメール語,Central Khmer
kik,キクユ語,"Kikuyu, Gikuyu"
kin,ルワンダ語,Kinyarwanda
kir,キルギス語,"Kirghiz, Kyrgyz"
kom,コミ語,Komi
kon,コンゴ語,Kongo
kor,朝鮮語,Korean
kur,クルド語,Kurdish
kua,クワニャマ語,"Kuanyama, Kwanyama"
lat,ラテン語,Latin
ltz,ルクセンブルク語,"Luxembourgish, Letzeburgesch"
lug,ルガンダ語,Ganda
lim,リンブルフ語,"Limburgan, Limburger, Limburgish"
lin,リンガラ語,Lingala
lao,ラーオ語,Lao
lit,リトアニア語,Lithuanian
lub,ルバ・カタンガ語,Luba-Katanga
lav,ラトビア語,Latvian
glv,マン島語,Manx
mkd,マケドニア語,Macedonian
mlg,マダガスカル語,Malagasy
msa,マレー語,Malay
mal,マラヤーラム語,Malayalam
mlt,マルタ語,Maltese
mri,マオリ語,Maori
mar,マラーティー語,Marathi
mah,マーシャル語,Marshallese
mon,モンゴル語,Mongolian
nau,ナウル語,Nauru
nav,ナバホ語,"Navajo, Navaho"
nob,ノルウェー語(ブークモール),North Ndebele
nde,北ンデベレ語,Nepali
nep,ネパール語,Ndonga
ndo,ンドンガ語,Norwegian Bokmål
nno,ノルウェー語(ニーノシュク),Norwegian Nynorsk
nor,ノルウェー語,Norwegian
iii,四川彝語,"Sichuan Yi, Nuosu"
nbl,南ンデベレ語,South Ndebele
oci,オック語,Occitan
oji,オジブウェー語,Ojibwa
chu,古代教会スラヴ語、教会スラヴ語,"Church Slavic, Church Slavonic, Old Church Slavonic, Old Slavonic, Old Bulgarian"
orm,オロモ語,Oromo
ori,オリヤー語,Oriya
oss,オセット語,"Ossetian, Ossetic"
pan,パンジャーブ語,"Panjabi, Punjabi"
pli,パーリ語,Pali
fas,ペルシア語,Persian
pol,ポーランド語,Polish
pus,パシュトー語,"Pashto, Pushto"
por,ポルトガル語,Portuguese
que,ケチュア語,Quechua
roh,ロマンシュ語,Romansh
run,ルンディ語,Rundi
ron,ルーマニア語、モルドバ語,"Romanian, Moldavian, Moldovan"
rus,ロシア語,Russian
san,サンスクリット,Sanskrit
srd,サルデーニャ語,Sardinian
snd,シンド語,Sindhi
sme,北部サーミ語,Northern Sami
smo,サモア語,Samoan
sag,サンゴ語,Sango
srp,セルビア語,Serbian
gla,スコットランド・ゲール語,"Gaelic, Scottish Gaelic"
sna,ショナ語,Shona
sin,シンハラ語,"Sinhala, Sinhalese"
slk,スロバキア語,Slovak
slv,スロベニア語,Slovenian
som,ソマリ語,Somali
sot,ソト語,Southern Sotho
spa,スペイン語,"Spanish, Castilian"
sun,スンダ語,Sundanese
swa,スワヒリ語,Swahili
ssw,スワジ語,Swati
swe,スウェーデン語,Swedish
tam,タミル語,Tamil
tel,テルグ語,Telugu
tgk,タジク語,Tajik
tha,タイ語,Thai
tir,ティグリニャ語,Tigrinya
bod,チベット語,Tibetan
tuk,トルクメン語,Turkmen
tgl,タガログ語,Tagalog
tsn,ツワナ語,Tswana
ton,トンガ語,Tonga (Tonga Islands)
tur,トルコ語,Turkish
tso,ツォンガ語,Tsonga
tat,タタール語,Tatar
twi,トウィ語,Twi
tah,タヒチ語,Tahitian
uig,ウイグル語,"Uighur, Uyghur"
ukr,ウクライナ語,Ukrainian
urd,ウルドゥー語,Urdu
uzb,ウズベク語,Uzbek
ven,ヴェンダ語,Venda
vie,ベトナム語,Vietnamese
vol,ヴォラピュク,Volapük
wln,ワロン語,Walloon
cym,ウェールズ語,Welsh
wol,ウォロフ語,Wolof
fry,西フリジア語,Western Frisian
xho,コサ語,Xhosa
yid,イディッシュ語,Yiddish
yor,ヨルバ語,Yoruba
zha,チワン語,"Zhuang, Chuang"
zul,ズールー語,Zulu